Question,Answer 1,Answer 2,Answer 3,Answer 4,Correct Answer,Points
"O que é Modelagem de Sistemas?","Processo de codificação de software","Processo de criar abstrações da realidade para representar sistemas","Processo de testar software","Processo de instalar sistemas em servidores","Processo de criar abstrações da realidade para representar sistemas",1
"Qual NÃO é um benefício da modelagem de sistemas?","Facilitar a comunicação entre equipes","Lidar com problemas complexos","Eliminar a necessidade de codificação","Guiar o desenvolvimento do sistema","Eliminar a necessidade de codificação",1
"O que é uma Regra de Negócio?","Diretriz que define condições ou critérios que precisam ser atendidos","Descrição de uma funcionalidade do sistema","Requisito relacionado ao desempenho do sistema","Processo de validação de código","Diretriz que define condições ou critérios que precisam ser atendidos",1
"Qual é a diferença principal entre Regra de Negócio e Requisito Funcional?","Regra = Condições; Requisito = Ações","Regra = Ações; Requisito = Condições","Não há diferença, são sinônimos","Regra é técnica; Requisito é de negócio","Regra = Condições; Requisito = Ações",1
"Analise a afirmação: 'A matrícula só será aceita se a carga horária total for ≥ 20 horas.' Esta é uma:","Regra de Negócio","Requisito Funcional","Requisito Não-Funcional","Caso de Uso","Regra de Negócio",1
"Qual é o formato padrão para identificar uma Regra de Negócio?","RF001","RN001","UC001","REQ001","RN001",1
"O que são Requisitos Funcionais?","Descrevem o que o sistema deve fazer (funcionalidades)","Descrevem como o sistema deve se comportar (qualidades)","Descrevem as condições de negócio","Descrevem a arquitetura técnica","Descrevem o que o sistema deve fazer (funcionalidades)",1
"Qual das alternativas abaixo é um Requisito Funcional?","O sistema deve responder em menos de 2 segundos","O sistema deve permitir cadastro de usuários","O sistema deve ser acessível 24/7","O sistema deve ter interface intuitiva","O sistema deve permitir cadastro de usuários",1
"Um Requisito Funcional pode violar uma Regra de Negócio?","Sim, sempre","Não, nunca","Sim, em casos especiais","Depende do contexto","Não, nunca",1
"Qual sufixo é comumente usado para identificar Requisitos Funcionais?","RN","RF","RNF","REQ","RF",1
"O que são Requisitos Não-Funcionais?","Descrevem funcionalidades do sistema","Descrevem qualidades e comportamentos do sistema","Descrevem regras de negócio","Descrevem casos de uso","Descrevem qualidades e comportamentos do sistema",1
"Qual das alternativas abaixo é um Requisito Não-Funcional?","O sistema deve gerar relatórios mensais","O sistema deve ter tempo de resposta inferior a 2 segundos","O sistema deve cadastrar produtos","O sistema deve enviar notificações por e-mail","O sistema deve ter tempo de resposta inferior a 2 segundos",1
"'O sistema deve estar disponível 99,9% do tempo' - Este é um RNF de qual categoria?","Desempenho","Segurança","Usabilidade","Confiabilidade","Confiabilidade",1
"Qual sufixo é usado para identificar Requisitos Não-Funcionais?","RF","RN","RNF","REQ","RNF",1
"Como os atores são representados em um Diagrama de Casos de Uso?","Boneco/figura de palito","Retângulo","Elipse","Losango","Boneco/figura de palito",1
"Como os casos de uso são representados?","Boneco/figura de palito","Retângulo","Elipse/oval","Losango","Elipse/oval",1
"O que significa o relacionamento 'include' em um Diagrama de Casos de Uso?","Um caso de uso sempre inclui outro caso de uso","Um caso de uso pode ou não incluir outro","Um ator herda características de outro ator","Um caso de uso se comunica com outro","Um caso de uso sempre inclui outro caso de uso",1
"O que significa o relacionamento 'extend' em um Diagrama de Casos de Uso?","Um caso de uso sempre inclui outro caso de uso","Um caso de uso pode estender outro caso de uso (comportamento opcional)","Um ator herda características de outro ator","Um caso de uso depende de outro","Um caso de uso pode estender outro caso de uso (comportamento opcional)",1
"O que é uma Entidade no MER?","Representação de algo do mundo real sobre o qual se deseja guardar informações (tabela)","Relacionamento entre duas tabelas","Campo de uma tabela","Chave primária","Representação de algo do mundo real sobre o qual se deseja guardar informações (tabela)",1
"O que são Atributos no MER?","Tabelas do banco de dados","Características/propriedades de uma entidade (campos)","Relacionamentos entre entidades","Chaves estrangeiras","Características/propriedades de uma entidade (campos)",1
"O que significa a cardinalidade '1:N' em um relacionamento?","Um para um","Um para muitos","Muitos para muitos","Nenhum para um","Um para muitos",1
"No relacionamento 'Um CLIENTE faz vários PEDIDOS', qual é a cardinalidade?","1:1","1:N","N:M","N:1","1:N",1
"Como se resolve um relacionamento N:M (muitos para muitos) no banco de dados?","Não é possível resolver","Com chave primária composta","Criando uma tabela associativa intermediária","Eliminando o relacionamento","Criando uma tabela associativa intermediária",1
"Qual é o principal objetivo das Metodologias Ágeis?","Criar documentação extensa","Entregar valor ao cliente de forma rápida e iterativa","Seguir um plano rígido sem mudanças","Eliminar a necessidade de testes","Entregar valor ao cliente de forma rápida e iterativa",1
"O que é uma Sprint no Scrum?","Reunião diária da equipe","Período fixo de tempo (geralmente 2-4 semanas) para desenvolver funcionalidades","Documento de requisitos","Ferramenta de modelagem","Período fixo de tempo (geralmente 2-4 semanas) para desenvolver funcionalidades",1
"Qual é a função do Product Owner no Scrum?","Gerenciar a equipe técnica","Representar o cliente e priorizar o backlog","Testar o software","Codificar as funcionalidades","Representar o cliente e priorizar o backlog",1
"O que é o Quadro Kanban?","Ferramenta visual para gerenciar fluxo de trabalho (To Do, Doing, Done)","Diagrama de banco de dados","Documento de requisitos","Tipo de metodologia cascata","Ferramenta visual para gerenciar fluxo de trabalho (To Do, Doing, Done)",1
"O que é um Sistema de Informação?","Sistema que coleta, armazena, processa e dissemina informações","Qualquer programa de computador","Banco de dados","Rede de computadores","Sistema que coleta, armazena, processa e dissemina informações",1
"Qual é o fluxo básico de um Sistema de Informação?","Saída → Processamento → Entrada","Entrada → Processamento → Saída","Armazenamento → Entrada → Saída","Processamento → Armazenamento → Entrada","Entrada → Processamento → Saída",1
